;Topology;Params;Number_Iterations;Number_Particles;C1;C2;W;Mean bests_Results;Best of Iterations
56;ALL;Number of interations: 100 C1: 0.1 C2:0.8 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.1;0.8;0.9;0.467555778559633;0.17152375879542037
57;ALL;Number of interations: 100 C1: 0.1 C2:2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.1;2.0;0.3;0.28143499807767763;1.4654943925052066e-14
58;ALL;Number of interations: 100 C1: 0.1 C2:2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.1;2.0;0.5;3.9700079819127153e-07;1.7600910284798488e-07
59;ALL;Number of interations: 100 C1: 0.1 C2:2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.1;2.0;0.9;4.631540875208042;3.6740463091402664
60;ALL;Number of interations: 100 C1: 0.5 C2:0.2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.5;0.2;0.3;0.04754682801607233;0.009078363540858891
61;ALL;Number of interations: 100 C1: 0.5 C2:0.2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.5;0.2;0.5;0.2289731770748234;0.017336516300130445
62;ALL;Number of interations: 100 C1: 0.5 C2:0.2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.5;0.2;0.9;0.0012267598762790931;0.0006274119540248257
63;ALL;Number of interations: 100 C1: 0.5 C2:0.5 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.5;0.5;0.3;0.10382141704437844;0.006859108105043976
64;ALL;Number of interations: 100 C1: 0.5 C2:0.5 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.5;0.5;0.5;3.076060413578219e-05;4.6629367034256575e-14
65;ALL;Number of interations: 100 C1: 0.5 C2:0.5 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.5;0.5;0.9;0.00439298023062209;0.0022067487093591076
66;ALL;Number of interations: 100 C1: 0.5 C2:0.8 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.5;0.8;0.3;0.5086225197147556;3.666186183126641e-05
67;ALL;Number of interations: 100 C1: 0.5 C2:0.8 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.5;0.8;0.5;2.722266856380884e-13;1.0347278589506459e-13
68;ALL;Number of interations: 100 C1: 0.5 C2:0.8 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.5;0.8;0.9;0.053419936120427725;0.011455177186807664
69;ALL;Number of interations: 100 C1: 0.5 C2:2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.5;2.0;0.3;0.16462236331071098;4.3076653355456074e-14
70;ALL;Number of interations: 100 C1: 0.5 C2:2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.5;2.0;0.5;4.890023257431153e-08;1.795977455643083e-08
71;ALL;Number of interations: 100 C1: 0.5 C2:2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.5;2.0;0.9;4.0935309638142225;3.4088685261093663
72;ALL;Number of interations: 100 C1: 0.7 C2:0.2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.7;0.2;0.3;0.045513947440133595;0.0012830319088625863
73;ALL;Number of interations: 100 C1: 0.7 C2:0.2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.7;0.2;0.5;0.13475733145739294;0.005431395641139591
74;ALL;Number of interations: 100 C1: 0.7 C2:0.2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.7;0.2;0.9;0.0005977660436525589;0.00025219539112386613
75;ALL;Number of interations: 100 C1: 0.7 C2:0.5 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.7;0.5;0.3;0.20565935419131068;0.056454379566649227
76;ALL;Number of interations: 100 C1: 0.7 C2:0.5 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.7;0.5;0.5;0.16489968613588432;3.597122599785507e-14
77;ALL;Number of interations: 100 C1: 0.7 C2:0.5 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.7;0.5;0.9;0.005789464932219435;0.003013971159902429
78;ALL;Number of interations: 100 C1: 0.7 C2:0.8 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.7;0.8;0.3;0.019909214068091163;3.197967682355696e-05
79;ALL;Number of interations: 100 C1: 0.7 C2:0.8 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.7;0.8;0.5;1.695532603207539e-13;7.505107646466058e-14
80;ALL;Number of interations: 100 C1: 0.7 C2:0.8 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.7;0.8;0.9;0.04347266285894387;0.02579145587454379
81;ALL;Number of interations: 100 C1: 0.7 C2:2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.7;2.0;0.3;3.432809592140984e-13;7.860379014346108e-14
82;ALL;Number of interations: 100 C1: 0.7 C2:2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.7;2.0;0.5;8.791599386270832e-08;1.9394982064824262e-08
83;ALL;Number of interations: 100 C1: 0.7 C2:2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.7;2.0;0.9;3.6807548043193856;2.587317066662774
84;ALL;Number of interations: 100 C1: 1 C2:0.2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;1.0;0.2;0.3;0.07367544332375546;0.018156122385584172
85;ALL;Number of interations: 100 C1: 1 C2:0.2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;1.0;0.2;0.5;0.10048674648775249;0.005214471326994374
86;ALL;Number of interations: 100 C1: 1 C2:0.2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;1.0;0.2;0.9;0.0006123332706558848;0.0002560839036189755
87;ALL;Number of interations: 100 C1: 1 C2:0.5 w:0.3 N_Particles:50 Topology:ALL;ALL;50;1.0;0.5;0.3;0.12892053943728826;0.01755469309665658
88;ALL;Number of interations: 100 C1: 1 C2:0.5 w:0.5 N_Particles:50 Topology:ALL;ALL;50;1.0;0.5;0.5;1.9051427102567686e-13;5.728750807065808e-14
89;ALL;Number of interations: 100 C1: 1 C2:0.5 w:0.9 N_Particles:50 Topology:ALL;ALL;50;1.0;0.5;0.9;0.006111594532016174;0.0021450657611592483
90;ALL;Number of interations: 100 C1: 1 C2:0.8 w:0.3 N_Particles:50 Topology:ALL;ALL;50;1.0;0.8;0.3;0.015471438482477584;2.510597174598672e-07
91;ALL;Number of interations: 100 C1: 1 C2:0.8 w:0.5 N_Particles:50 Topology:ALL;ALL;50;1.0;0.8;0.5;2.0969892489119956e-13;9.281464485866309e-14
92;ALL;Number of interations: 100 C1: 1 C2:0.8 w:0.9 N_Particles:50 Topology:ALL;ALL;50;1.0;0.8;0.9;0.05675873270790897;0.009296260489897623
93;ALL;Number of interations: 100 C1: 1 C2:2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;1.0;2.0;0.3;0.16462236331109362;3.0242475190789264e-13
94;ALL;Number of interations: 100 C1: 1 C2:2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;1.0;2.0;0.5;1.5484657049924523e-07;4.421786714559062e-08
95;ALL;Number of interations: 100 C1: 1 C2:2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;1.0;2.0;0.9;3.6426583180480465;2.983579314052353
96;ALL;Number of interations: 200 C1: 0.1 C2:0.2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.1;0.2;0.3;0.22803370667391692;0.00047491020291134944
97;ALL;Number of interations: 200 C1: 0.1 C2:0.2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.1;0.2;0.5;0.13094701218226498;0.04080005808828391
98;ALL;Number of interations: 200 C1: 0.1 C2:0.2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.1;0.2;0.9;1.051525564905731e-05;6.333826558790889e-06
99;ALL;Number of interations: 200 C1: 0.1 C2:0.5 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.1;0.5;0.3;0.2861181780288139;0.009844901017352914
100;ALL;Number of interations: 200 C1: 0.1 C2:0.5 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.1;0.5;0.5;0.5151912247019108;9.692127100890957e-10
101;ALL;Number of interations: 200 C1: 0.1 C2:0.5 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.1;0.5;0.9;0.0005821729422920363;0.00022773158138322813
102;ALL;Number of interations: 200 C1: 0.1 C2:0.8 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.1;0.8;0.3;0.0056492337636155025;2.859567769242233e-07
103;ALL;Number of interations: 200 C1: 0.1 C2:0.8 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.1;0.8;0.5;0.16462236331031485;3.9968028886505635e-15
104;ALL;Number of interations: 200 C1: 0.1 C2:0.8 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.1;0.8;0.9;0.06608232262826882;0.032418154007637145
105;ALL;Number of interations: 200 C1: 0.1 C2:2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.1;2.0;0.3;0.3292447266206261;3.9968028886505635e-15
106;ALL;Number of interations: 200 C1: 0.1 C2:2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.1;2.0;0.5;1.6635581800983347e-13;1.4654943925052066e-14
107;ALL;Number of interations: 200 C1: 0.1 C2:2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.1;2.0;0.9;4.946576331637535;3.374214477117239
108;ALL;Number of interations: 200 C1: 0.5 C2:0.2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.5;0.2;0.3;0.11818037132813837;0.00022748160563113018
109;ALL;Number of interations: 200 C1: 0.5 C2:0.2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.5;0.2;0.5;0.33596539997430497;0.03581863039641009
110;ALL;Number of interations: 200 C1: 0.5 C2:0.2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.5;0.2;0.9;2.968608742737189e-06;1.6050928128841235e-06
111;ALL;Number of interations: 200 C1: 0.5 C2:0.5 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.5;0.5;0.3;0.35460867987008565;0.04493526403050341
112;ALL;Number of interations: 200 C1: 0.5 C2:0.5 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.5;0.5;0.5;2.834941179585826e-08;3.9968028886505635e-15
113;ALL;Number of interations: 200 C1: 0.5 C2:0.5 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.5;0.5;0.9;7.623989484608628e-05;5.439846021859651e-05
114;ALL;Number of interations: 200 C1: 0.5 C2:0.8 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.5;0.8;0.3;0.030555506523578392;2.935869889997278e-05
115;ALL;Number of interations: 200 C1: 0.5 C2:0.8 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.5;0.8;0.5;1.5099033134902129e-15;4.440892098500626e-16
116;ALL;Number of interations: 200 C1: 0.5 C2:0.8 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.5;0.8;0.9;0.0026747345210460516;0.0006807954295457996
117;ALL;Number of interations: 200 C1: 0.5 C2:2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.5;2.0;0.3;0.1646223633103138;4.440892098500626e-16
118;ALL;Number of interations: 200 C1: 0.5 C2:2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.5;2.0;0.5;6.1284310959308644e-15;3.9968028886505635e-15
119;ALL;Number of interations: 200 C1: 0.5 C2:2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.5;2.0;0.9;4.32306031867225;3.301017163231958
120;ALL;Number of interations: 200 C1: 0.7 C2:0.2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.7;0.2;0.3;0.2250745247669653;0.0027971606300849494
121;ALL;Number of interations: 200 C1: 0.7 C2:0.2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.7;0.2;0.5;0.18548600297312853;0.0017806450386967931
122;ALL;Number of interations: 200 C1: 0.7 C2:0.2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.7;0.2;0.9;3.010341997811139e-06;1.32928289220402e-06
123;ALL;Number of interations: 200 C1: 0.7 C2:0.5 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.7;0.5;0.3;0.29777682732802413;0.005085952798787208
124;ALL;Number of interations: 200 C1: 0.7 C2:0.5 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.7;0.5;0.5;9.634528024031752e-05;4.440892098500626e-16
125;ALL;Number of interations: 200 C1: 0.7 C2:0.5 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.7;0.5;0.9;0.00010444126306881074;4.046434767746021e-05
126;ALL;Number of interations: 200 C1: 0.7 C2:0.8 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.7;0.8;0.3;0.09535366650951796;9.247373089493749e-09
127;ALL;Number of interations: 200 C1: 0.7 C2:0.8 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.7;0.8;0.5;1.865174681370263e-15;4.440892098500626e-16
128;ALL;Number of interations: 200 C1: 0.7 C2:0.8 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.7;0.8;0.9;0.0027861286183239464;0.0011428370808634902
129;ALL;Number of interations: 200 C1: 0.7 C2:2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.7;2.0;0.3;2.930988785010413e-15;4.440892098500626e-16
